"poetID","NameHZ","NamePY","HaoHZ","HaoPY","ZiHZ","ZiPY","OtherZiHaoHZ","OtherZiHaoPY","MaritalStatus","Notes","Sex","LifeSpan","StartYear","EndYear","EthnicGroup","MainWorks","ispoet","HuWenKai","zhuLu","xuZuoZhe","baZuoZhe"
19,"陸瑛","Lu Ying","素牕女史","Suchuangnüshi","","","","","正室","諸生陸昶女﹐諸生羅康濟妻。張芬﹑張允滋﹑陸素窗瑛﹑李婉兮媺﹑席蘭枝蕙文﹑朱翠娟宗淑﹑江碧岑珠﹑沈蕙孫纕﹑尤寄湘澹仙﹑沈皎如持玉結清溪吟社號吳中十子。","女","清乾隆",1736,1795,"漢","《賞奇樓草》﹑《蠹餘稿》",1,"617","擷芳集﹐吳中十子詩鈔﹐（徐乃昌）閨秀詞鈔﹐國朝閨秀正始集﹐小黛軒論詩詩","江珠﹐張芬題辭",""
20,"李媺","Li Mei","","","婉兮","Wanxi","","","正室","詩人漫翁詩老李其永女﹐甲子(1744)舉人溧陽教諭蟠根妹﹐諸生陸昶室。張允滋﹐張紫蘩芬﹑陸素窗瑛﹑李婉兮媺﹑席蘭枝蕙文﹑朱翠娟宗淑﹑江碧岑珠﹑沈蕙孫纕﹑尤寄湘澹仙﹑沈皎如持玉結清溪吟社號吳中十子。","女","清乾隆",1736,1795,"漢","《琴好樓集》",1,"339","蘇州府志﹐擷芳集﹐吳中十子詩鈔﹐（徐乃昌）閨秀詞鈔﹐國朝閨秀正始集﹐小黛軒論詩詩","悟源題詞",""
22,"朱宗淑","Zhu Zongshu","","","德音","Deyin","翠娟","Cuijuan","","甲辰(1724)召試廩膳生諸生朱雲驤女。清溪表甥女。","女","清乾隆",1736,1795,"漢","《修竹廬吟稿》﹑《德音近稿》",1,"277","蘇州府志﹐擷芳集﹐吳中十子詩鈔﹐國朝閨閣詩鈔﹐（徐乃昌）閨秀詞鈔﹐國朝閨秀正始集﹐吳中女士詩鈔﹐小黛軒論詩詩","任兆麟序",""
183,"趙我佩","Zhao Wopei","","","君蘭","Junlan","","","正室","趙慶熺女﹐舉人口礪軒妻。其妹君蓮﹐表妹采湘。按慶熺(1792-1847)﹐字秋舲﹐道光壬午(1822)進士。著有香消酒醒詞二卷﹐曲一卷。","女","清道光咸豐",1821,1861,"漢","《碧桃仙館詞一卷》",1,"704","崑山胡氏書目﹐小檀欒室彙刻百家閨秀詞﹐小黛軒論詩詩﹐閨秀詞話","",""
24,"沈纕","Shen Xiang","玉香僊子","Yuxiangxianzi","蕙孫","Huisun","散華, 散花女史","Sanhua, Sanhuanüshi","正室","戊子(1768)舉人祁門訓導沈起鳳女﹐母張靈字湘人亦能詩﹐進士清瑞姪女﹐諸生林衍潮室。蕙孫工吹洞簫﹐製有簫譜。按沈起鳳，字桐威，江蘇吳縣人，乾隆舉人，歷官祁全椒訓導，以度曲知名吳中﹐有文言筆記小說《諧鐸》十二卷。張允滋﹑張紫蘩芬﹑陸素窗瑛﹑李婉兮媺﹑席蘭枝蕙文﹑朱翠娟宗淑﹑江碧岑珠﹑沈蕙孫纕﹑尤寄湘澹仙﹑沈皎如持玉結清溪吟社號吳中十子。","女","清乾隆",1736,1795,"漢","《繡餘草一卷》﹑《翡翠樓詩文集》﹑《浣紗詞一卷》",1,"373","擷芳集﹐吳中十子詩鈔﹐國朝閨閣詩鈔﹐國朝閨秀正始集﹐吳中女士詩鈔﹐小檀欒室彙刻百家閨秀詞﹐小黛軒論詩詩﹐閨秀詞話","任兆麟﹐江珠序﹐沈纕自序",""
26,"沈持玉","Shen Chiyu","皎如","Jiaoru","佩之","Peizhi","","","","","女","清乾隆",1736,1795,"漢","《停雲閣詩稿》",1,"363","吳中十子詩鈔﹐擷芳集﹐國朝閨秀正始集﹐吳中女士詩鈔﹐小黛軒論詩詩","尤澹仙序",""
27,"王瓊","Wang Qiong","愛蘭老人","Ailanlaoren","碧雲","Biyun","","","正室","諸生王(豫)柳村女弟﹐周維延妻。兄女王迺德字子一﹑王迺容字子莊﹑表姪女季芳字如蘭俱工詩﹐合刻種竹齋閨秀聯珠集。","女","清乾隆",1736,1795,"漢","《愛蘭軒集》、《名媛詩話八卷》",1,"256","丹徒縣志﹐國朝閨秀正始集﹐吳中女士詩鈔﹐小黛軒論詩詩","王鳴盛﹐任兆麟﹐張芬﹐馬素貞﹐金逸﹐素貞序﹐蔡之定﹐雷沖霄﹐蔡之銘﹐張學仁﹐顧鶴慶﹐任昌諫﹐金逸﹐馬素貞﹐張允滋﹐石鈞題辭","季耀南跋"
28,"任兆麟","Ren Zhaolin","林屋山人","Linwushanren","文田","Wentian","心齋居士","Xinzhaijushi","","妻張允滋(滋蘭)。任大椿族弟。","男","?-1796",1736,1796,"漢","《心斋十种》、《有竹居集》、《毛詩通說三十卷補遺一卷》、《夏小正補注四卷》、《樂譜一卷》、《孟子時事略一卷》、《石鼓文考釋一卷》",1,"","","沈纕序","江珠跋"
29,"姚倩","Yao Qian","","","倩君","Qianjun","姚鴻倩","Yao Hongqian","繼室","與其妹姚茝合著《南湘室詩草》。胡文楷著其名為姚鴻倩。江蘇常熟人﹐言微繼室。據《清代閨秀集叢刊》，宣統二年（1910）于歸，隨夫遊吉林及日本，不廢吟詠。祖父姚福增（1805-1855），字至川，一字備也，號湘坡","女","清末民初",1885,1949,"漢","《蘿香室詩詞集》《南湘室詩草》",1,"422","清閨秀藝文略﹐晚晴簃詩匯","朱紈﹐林鵾翔題辭",""
30,"姚茝","Yao Chai","","","婉瑩","Wanying","姚鴻茝","Yao Hongchai","正室","歷代婦女著作考作姚鴻茝﹐江蘇常熟人﹐俞承萊妻。據《清代閨秀集叢刊》，俞為近現代小說家，中國偵探小說拓荒者之一","女","清末民初",1885,1949,"漢","《紉芳集》，與姚倩合著《南湘室詩草一卷詩餘一卷》",1,"422","清閨秀藝文略","朱紈﹐林鵾翔題辭",""
692,"彭舒英","Peng shuying","雲京女史","Yunjingnüshi","辛齋","Xinzhai","","","","小黛軒論詩詩作字辛齊。","女","清代",1644,1911,"漢","《雲京閣詩鈔》",1,"629","國朝閨秀正始集﹐小黛軒論詩詩","",""
693,"夏沚","Xia Zhi","","","湘友","Xiangyou","","","繼室","薛既央繼室。與胡蕊仙為中表戚。","女","清代",1644,1911,"漢","湘友詩稿",1,"458","清閨秀藝文略﹐擷芳集﹐國朝閨秀正始集","",""
32,"宗粲","Zong Can","","","倩宜","Qianyi","茝生,粲生","Chaisheng, Cansheng","正室","陸鐵雲妻。宗婉妹。母錢念生。按鐵雲為翁同龢表兄。據《清代閨秀集叢刊》，爲詩工近體，語言清易，風格疏淡，得中晚唐風致。夫陸清泰，長洲（今屬江蘇蘇州）人。","女","清道光至光緒年間",1821,1908,"漢","繭香館吟草一卷",1,"391","崑山胡氏書目﹐閨秀詞話","宗婉題詞",""
37,"袁棠","Yuan Tang","秋卿","Qiuqing","雲扶","Yunfu","","","正室，繼室","袁健磐女﹐儀徵汪楷亭(孟翊)妻。袁枚從妹。與從姊機﹐杼並以詩名﹐袁枚選其詩為三妹合稿。據《清代閨秀集叢刊》，袁枚堂四妹，父袁鴻，宦居廣西，故生長於桂林。年十三父親去世，由袁枚接回杭州，後隨袁枚遷於隨園，與袁機、袁杼合稱“袁家三妹”。適汪為繼室，夫婦情好，自比秦嘉徐淑。卒於難產","女","1734-1771",1734,1771,"漢","《繡餘吟稿一卷》《盈書閣遺稿一卷》",1,"492","清史稿藝文志﹐杭州府志﹐擷芳集﹐三妹合稿﹐國朝閨閣詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩﹐女世說","袁枚﹐汪孟翊序",""
38,"袁杼","Yuan Zhu","","","靜宜","Jingyi","綺文","Qiwen","正室﹐寡婦","松江韓思永妻。早寡，依兄於隨園。袁枚四妹。與姊機從妹棠並以詩名，兄枚選其詩為三妹合稿。生卒年據《清代閨秀集叢刊》。據《清代閨秀集叢刊》，其夫遠遊，客死他鄉。袁杼獨力撫育一子一女。子執玉十五歲患病夭折，袁杼遂攜幼女依附袁枚居南京，卒於隨園","女","1727-1776",1726,1777,"漢","《樓居小草一卷》",1,"490","清史稿藝文志﹐杭州府志﹐國朝閨秀正始集﹐三妹合稿﹐小黛軒論詩詩﹐女世說","袁枚撰墓誌銘﹐嚴長明題辭",""
39,"袁機","Yuan Ji","","","素文","Suwen","","","正室","袁枚三妹。如皋高繹祖妻﹐早卒。弟袁樹。與妹杼從妹棠並以詩名﹐兄枚選其詩為三妹合稿。據《清代閨秀集叢刊》，好學淵雅，有不櫛進士之目。年二十九離異，居隨園，素服吃齋，侍奉母親","女","1720-1759",1720,1759,"漢","《素文女子遺稿一卷》",1,"494","清史稿藝文志﹐杭州府志﹐國朝閨秀正始集﹐三妹合稿﹐小黛軒論詩詩﹐女世說","袁枚序",""
3901,"袁樹","Yuan Shu","香亭","Xiangting","豆村","Doucun","","","","袁枚從弟，袁棠兄，乾隆二十八年進士，官肇慶知府，工詩畫。","男","1731-1810",1731,1810,"漢","《紅豆村人詩稿》",1,"","","",""
42,"吳綃","Wu Xiao","","","素公","Sugong","冰仙,片霞,素君","Bingxian, Pianxia, Sujun","正室","通判吳水蒼女﹐巡道常熟許瑤妻。吳梅村女弟。按吳偉業(1609-1672)，字駿公，晚自號梅村。明崇禎進士，入清後官國子祭酒。 小黛軒論詩詩作號素君。生卒年據《清代閨秀集叢刊》。另據《清代閨秀集叢刊》，出身望族，多才多藝，善琴，工書畫詩詞，一時名士錢謙益、吳偉業、陳維崧等皆推美其才。 生卒年據趙雪沛選注，《倦倚碧羅裙 明清女性詞選》(2013)，頁18。 ","女","1582-1671",1582,1671,"漢","《嘯雪菴詩集初集三卷》、《吳冰僊詩》、《嘯雪菴二集》",1,"105","然脂集﹐崑山胡氏書目﹐閨籍經眼錄﹐國朝閨閣詩鈔﹐國朝閨秀正始集﹐小檀欒室彙刻百家閨秀詞﹐小黛軒論詩詩﹐閨秀詞話，名媛詩緯初編","黃中瑄﹐葉襄﹐鄒流綺﹐吳綃﹐鄒斯漪",""
43,"顧若璞","Gu Ruopu","","","和知","Hezhi","","","正室﹐寡婦","明上林苑丞友白女。督學黃寓庸長子副榜仁和文學黃茂梧(東生)妻。二十八歲即寡﹐以節孝著。有二子。長子粲﹐娶婦丁氏玉如字連璧﹐亦能詩﹐次子煒﹐孫女埈兒字智生﹐孫婦錢鳳綸。妹顧若群為《臥月軒稿》序。《杭郡詩輯》﹑《名媛詩話》﹑《擷芳集》有載。清史稿列傳二百九十五有傳。生卒年按《清代閨秀集叢刊》","女","1592-1681後",1592,1681,"漢","《臥月軒集六卷》",1,"206","翠樓集﹐宮閨氏籍藝文考略﹐國朝閨閣詩鈔﹐（徐乃昌）閨秀詞鈔﹐國朝閨秀正始集﹐全清詞﹐小黛軒論詩詩﹐閨秀詞話﹐武林往哲遺著﹐女世說﹐名媛尺牘，名媛詩緯初編","吳本泰序﹐力墨子﹐包鴻嘉小傳﹐馬元調序﹐顧若群總序詩稿序﹐顧若璞自序",""
44,"徐昭華","Xu Zhaohua","蘭痴","Lanchi","伊璧","Yibi","枫溪女史","Fengxi nü shi","正室﹐寡婦","兵部尚書徐人龍孫女﹐徵士徐咸凊女史商景徽女，諸暨諸生駱加采妻。據《清代閨秀集叢刊》，師事毛奇齡，有“徐都講”之稱。夫駱佳采","女","清康熙間",1662,1722,"漢","《徐都講詩集》一卷、《花閒集》、《鳳凰于飛樓集》一卷、《浣香閣遺稿》一卷",1,"473","清史稿藝文志﹐上虞縣志﹐西河全集﹐四庫全書總目提要﹐上虞縣志藝文志﹐國朝閨閣詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩、中国文学大辞典","毛奇齡序",""
46,"陳皖永","Chen Wanyong","汲雲老人","Jiyunlaoren","倫光","Lunguang","","","正室","明順天巡撫祖苞孫女﹐之暹女﹐康熙初工部尚書文和公敳永及慈永妹﹐副榜楊慎言(語可﹐中默)室。男大晟。","女","清順治康熙間",1644,1723,"漢","《素賞樓稿八卷》《破涕吟一卷》",1,"592","杭州府志﹐海寧州志稿﹐擷芳集﹐國朝閨閣詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩","陳瑄﹐陳慈永﹐陳皖永序","陳大晟跋"
47,"王慧","Wang Hui","","","蘭韞","Lanyun","韞蘭","Yunlan","正室﹐寡婦","王慧字又作韞蘭。學使王長源(發祥)長女﹐紹興知府吉武妹﹐諸生琴川朱方來妻﹐兄妹七人俱能吟詠。早寡。王慧詩集為其兄吉武刊以傳世。小黛軒論詩詩作鎮洋人。 生年按詩“戊寅季春余六十初度憲尹枉過用甲戍舊韻留題奉和三首”。 卒年按其弟王吉武《跋》(作於康熙戊子(1708)，跋中稱此乃遺筆，由此推斷，卒年應在此年或之前。","女","b. 1638-ca.1708",1638,1708,"漢","《凝翠樓集四卷》",1,"252","蘇州府志﹐擷芳集﹐國朝閨閣詩鈔﹐本朝名媛詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩﹐女世說","唐孫華","王吉武"
48,"柴靜儀","Chai Jingyi","","","季嫺","Jixian","","","正室","舉人柴雲倩(世堯)次女，柴貞儀妹(如光)﹐廣文沈鏐(漢嘉)妻。朱柔則婆。善鼓琴。《眾香詞》﹑《杭郡詩輯》和《湖塾詩鈔》有載。與林以寧亞清﹐顧姒啟姬﹐錢雲儀﹑馮又令並稱“蕉園五子”。女世說作與林以寧亞清﹐顧姒啟姬﹐錢雲儀鳳綸﹐馮又令嫻﹐張槎雲昊﹐毛安芳媞相倡和﹐稱“蕉園七子”。","女","清康熙",1662,1722,"漢","《凝香室詩鈔》、《北堂詩草》",1,"434","杭州府志﹐擷芳集﹐國朝閨閣詩鈔﹐本朝名媛詩鈔﹐（徐乃昌）閨秀詞鈔﹐國朝閨秀正始集﹐小黛軒論詩詩﹐女世說","毛舒黃﹐丁药園﹐林鹿菴序",""
575,"曾如蘭","Zeng Rulan","","","","","","","正室","同邑林邦基室。邦基卒，曾立其兄子为后，葬舅姑毕，具牒上县请死，知县慰止之。后十日，题辞，吞金殉。(見《清史稿列传二百九十八﹒列女四》) 《閩川閨秀詩話續編》又作福建長樂人﹐杭郡詩續輯烈婦曾如蘭。寓家仁和。芸桉國朝詩鐸載閨媛陳皖永輓烈婦詩。","女","清康熙間",0,0,"漢","",1,"","國朝閨秀正始集﹐閩川閨秀詩話續編","",""
52,"李國梅","Li Guomei","","","芬子","Fenzi","韞庵","Yunan","正室","布衣李瀚女﹐康熙舉人國宋(字湯孫﹐號大邨)妹﹐諸生解舉鼎妻。","女","清康熙",1662,1722,"漢","《林下風清集》",1,"335","重修揚州府志﹐興化縣志﹐擷芳集﹐然脂集﹐國朝閨閣詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩﹐女世說","李驎","方嶟"
55,"賀桂","He Gui","竹隱居士","Zhuyinjushi","秋安","Qiuan","","","正室","舉人士昌女﹐攸縣知縣龍有珠妻。父官於滁﹐積書甚富。桂幼嗜讀﹐多通理解。","女","清代",1644,1850,"漢","《竹隱樓草》",1,"650","江西通志﹐國朝閨閣詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
533,"童鳳","Tong Feng","","","稚簫","Zhixiao","","","","","女","清代",1644,1850,"漢","雲夢樓吟草",1,"648","山西通志﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
534,"張昊","Zhang Hao","","","槎雲","Chayun","玉琴","Yuqin","正室","舉人張步青(義壇)女，祖望妹﹐妹張昂字玉霄﹐諸生胡大瀠(文漪)室。蕉園七子之一，年僅二十五而卒。","女","清康熙",1662,1722,"漢","《趨庭詠二卷》，《琴樓合稿》，《槎雲遺稿》",1,"514","杭州府志﹐然脂集﹐擷芳集﹐宮閨氏籍藝文考略﹐本朝名媛詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩﹐女世說","商景蘭序",""
59,"何玉瑛","He Yuying","","","梅鄰","Meilin","","","正室","晉州知州何崇女﹐侯官鄭楠妻﹐梁章鉅婣。嘉慶進士﹑太守鄭松谷(鵬程)母﹐有女兄弟三﹐皆能吟詩。生卒年按《清代閨秀集叢刊》","女","1745-1788",1745,1788,"漢","《疎影軒遺草二卷》",1,"291","閩侯縣志﹐國朝閨閣詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩﹐閩川閨秀詩話","汪廷珍﹐黃世發","鄭孝胥"
60,"馬士琪","Ma Shiqi","","","韞雪","Yunxue","","","正室","南城知縣馬雲錦女﹐晉城知縣祥符張應垣妻,舉人甯母。小黛軒論詩詩作馬士騏﹐晉城人。","女","清康熙",1662,1722,"漢","《漱泉集二卷》﹑《片石齋燼餘草四卷》",1,"495","擷芳集﹐中州先哲傳﹐國朝閨閣詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
61,"張藻","Zhang Zao","","","于湘","Yuxiang","","","正室，繼室","印江知縣張之頊女史顧英女﹐鎮洋畢禮妻。湖廣總督畢沅(1730-1797)之母﹐女汾﹐孫女慧。《國朝閨秀正始集》作江蘇清浦人。按畢沅，字纕蘅，江南鎮洋人。乾隆十八年舉人，授內閣中書，充軍機處章京。二十五年一甲一名進士，授修撰。再遷庶子。三十五年，升陝西按察使。後累任陝西布政使、陝西巡撫。四十六年，甘肅撒拉爾回蘇四十三為亂，沅會西安軍伍彌秦、提督馬彪發兵討之。事平論功，賜一品頂帶。沅先後陝西十年。五十年，調河南巡撫。五十一年，賜黃馬褂。授湖廣總督。嘉慶卒，贈太子太保。四年，追論沅教匪初起失察貽誤，濫用軍需帑項，奪其職，籍其家。編有《续资治通鉴》。清史有傳。 生卒年據《清代閨秀集叢刊》。另據《清代閨秀集叢刊》，父知書善詩。母字若憲，擅詩文，尤熟於史事。藻幼承母教，通經能文，才名遠揚。適畢鏞為繼室。鏞早卒，撫三子二女成立。畢沅為官後，張藻貽詩作誡，皆切於民生國事。病故後，乾隆特賜御書“經訓克家”予以褒揚","女","1709-1780",1709,1780,"漢","培遠堂詩四卷",1,"532","蘇州府志﹐青浦縣志﹐正始集﹐國朝閨閣詩鈔","",""
62,"吳若冰","Wu Ruobing","","","瑩仙","Yingxian","","","正室﹐寡婦","貢生吳國枚長女﹐分宜楊蘇材妻﹐主事楊曰鯤母。按曰鯤乾隆五十五年(1790)進士。","女","清乾隆",1736,1795,"漢","《悟雪堂詩鈔》",1,"306","江西通志﹐柳絮集﹐國朝閨閣詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
63,"徐德音","Xu Deyin","淥淨老人","Lujinlaoren","淑則","Shuze","","","正室","漕運總督谥清獻旭齡(元文)女，進士江都許迎年室，同知佩璜母。歷代婦女著作考作徐淑則﹐字德音。","女","清康熙",1662,1722,"漢","《綠靜軒詩鈔五卷》《綠靜軒續集一卷》《紀瑞詩集》",1,"474","重修揚州府志﹐杭州府志﹐擷芳集﹐高陽四稿﹐販書偶記﹐國朝閨閣詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩﹐蘭閨寶錄","餐霞老人﹐林以寧﹐李淑儀序",""
751,"吳氏(謝鶴樵妻)","Wu shi (Xie Heqiao qi)","","","","","","","正室","貢生謝鶴樵室。","女","清代",1644,1911,"漢","《梅閣小草》",1,"","國朝閨秀正始集﹐小黛軒論詩詩","",""
65,"陳淑秀","Chen Shuxiu","","","昭陽","Zhaoyang","玉芳","Yufang","正室","《國朝閨秀正始集》作陳氏。直隸兵備道陳法女﹐諸生周承元妻。按陳法﹐字定齋﹐康熙五十二年(1713)進士。定齋《國朝閨閣詩鈔一百種一百卷》收有詩集。","女","清雍正前後",1692,1766,"漢","《玉芳亭詩集》",1,"589","貴州通志﹐名媛詩話﹐擷芳集﹐國朝閨秀正始集﹐小黛軒論詩詩","謝廷董序",""
66,"倪瑞璿","Ni Ruixuan","","","玉英","Yuying","","","繼室","庠生倪紹瓚女﹐進士宜興徐起泰繼室。","女","1702-1731",1702,1731,"漢","《篋存詩稿三卷》《靜香閣詩草》",1,"452","徐州詩徵﹐崑山徐氏書目﹐國朝閨閣詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩","瞿源﹐朱桓﹐朱期成﹐徐起泰﹐周保極﹐曹嘉序",""
67,"姚德耀","Yao Deyao","","","景孟","Jingmeng","","","正室","郎中姚鼐(1731-1815)姑母﹐山東通判馬書香妻。按姚鼐字姬传，桐城人，刑部尚书文然玄孙。乾隆二十八年进士，选庶吉士，改礼部主事。历充山东、湖南乡试考官，会试同考官，所得多知名士。四库馆开，充纂修官。书成，以御史记名，乞养归。自告归后，主讲江南紫阳、锺山书院四十馀年，以诲迪后进为务。嘉庆十五年，重赴鹿鸣，加四品衔。二十年，卒，年八十有五。所著有九经说十七卷，老子、庄子章义，惜抱轩文集二十卷、诗集二十卷，三传补注三卷，法帖题跋二卷、笔记四卷。 小黛軒論詩詩作姚德輝。","女","清雍正前後",1692,1766,"漢","《清香閣詩鈔》",1,"421","桐城縣志﹐國朝閨閣詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
68,"李毓清","Li Yuqing","","","秀英","Xiuying","","","正室","庠生李履和女﹐貢生王騶妻﹐拔貢安福母。工詩善畫。《國朝閨閣詩鈔一百種一百卷》收有詩集。","女","清代",1644,1850,"漢","《一桂軒詩鈔二卷》",1,"341","陽山縣志﹐販書偶記﹐國朝閨閣詩鈔一百種一百卷﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
70,"蘇世璋","Su Shizhang","","","文圭","Wengui","","","正室","海澄公黃立齋妻。《國朝閨閣詩鈔一百種一百卷》收有詩集。","女","清雍正前後",1692,1765,"漢","瑞圃詩鈔二卷",1,"797","福建通志﹐擷芳集﹐國朝閨閣詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩﹐閩川閨秀詩話","宮獻瑤序",""
